name,campaign_name
AdGroup_0,Campaign_55
AdGroup_1,Campaign_29
AdGroup_2,Campaign_12
AdGroup_3,Campaign_56
AdGroup_4,Campaign_21
AdGroup_5,BadCampaign_2
AdGroup_6,Campaign_16
AdGroup_7,Campaign_59
AdGroup_8,Campaign_44
AdGroup_9,Campaign_73
AdGroup_10,Campaign_30
AdGroup_11,Campaign_50
AdGroup_12,Campaign_36
AdGroup_13,Campaign_17
AdGroup_14,Campaign_68
AdGroup_15,Campaign_72
AdGroup_16,Campaign_10
AdGroup_17,BadCampaign_2
AdGroup_18,Campaign_44
AdGroup_19,Campaign_24
AdGroup_20,Campaign_65
AdGroup_21,Campaign_40
AdGroup_22,Campaign_12
AdGroup_23,Campaign_5
AdGroup_24,Campaign_55
AdGroup_25,Campaign_8
AdGroup_26,Campaign_92
AdGroup_27,Campaign_86
AdGroup_28,Campaign_42
AdGroup_29,Campaign_12
AdGroup_30,Campaign_18
AdGroup_31,Campaign_47
AdGroup_32,Campaign_63
AdGroup_33,Campaign_38
AdGroup_34,Campaign_35
AdGroup_35,Campaign_58
AdGroup_36,Campaign_56
AdGroup_37,Campaign_71
AdGroup_38,Campaign_4
AdGroup_39,Campaign_8
AdGroup_40,Campaign_77
AdGroup_41,Campaign_71
AdGroup_42,Campaign_49
AdGroup_43,Campaign_53
AdGroup_44,Campaign_62
AdGroup_45,Campaign_59
AdGroup_46,Campaign_80
AdGroup_47,Campaign_24
AdGroup_48,Campaign_50
AdGroup_49,Campaign_54
AdGroup_50,Campaign_66
AdGroup_51,Campaign_2
AdGroup_52,BadCampaign_2
AdGroup_53,Campaign_36
AdGroup_54,Campaign_78
AdGroup_55,Campaign_80
AdGroup_56,Campaign_10
AdGroup_57,Campaign_74
AdGroup_58,Campaign_76
AdGroup_59,Campaign_0
AdGroup_60,Campaign_20
AdGroup_61,Campaign_16
AdGroup_62,Campaign_58
AdGroup_63,Campaign_75
AdGroup_64,Campaign_46
AdGroup_65,Campaign_11
AdGroup_66,Campaign_39
AdGroup_67,Campaign_93
AdGroup_68,Campaign_57
AdGroup_69,Campaign_54
AdGroup_70,Campaign_48
AdGroup_71,Campaign_53
AdGroup_72,Campaign_23
AdGroup_73,Campaign_6
AdGroup_74,Campaign_19
AdGroup_75,Campaign_86
AdGroup_76,BadCampaign_3
AdGroup_77,Campaign_2
AdGroup_78,Campaign_65
AdGroup_79,Campaign_25
AdGroup_80,Campaign_28
AdGroup_81,Campaign_74
AdGroup_82,Campaign_12
AdGroup_83,Campaign_53
AdGroup_84,Campaign_86
AdGroup_85,Campaign_58
AdGroup_86,Campaign_47
AdGroup_87,BadCampaign_0
AdGroup_88,Campaign_8
AdGroup_89,Campaign_23
AdGroup_90,Campaign_28
AdGroup_91,Campaign_68
AdGroup_92,Campaign_28
AdGroup_93,Campaign_86
AdGroup_94,Campaign_36
BadAdGroup_0,InvalidCampaign
BadAdGroup_1,InvalidCampaign
BadAdGroup_2,InvalidCampaign
BadAdGroup_3,InvalidCampaign
BadAdGroup_4,InvalidCampaign
