name,advertiser_name,start_date,end_date
Campaign_0,Amazon_66,2024-04-19,2024-07-15
Campaign_1,Meta_28,2024-10-27,2024-12-28
Campaign_2,Google_74,2024-10-06,2024-11-22
Campaign_3,Amazon_67,2024-11-24,2025-01-30
Campaign_4,Google_88,2024-12-11,2025-01-25
Campaign_5,Meta_42,2024-04-12,2024-04-22
Campaign_6,Amazon_51,2024-11-14,2025-01-31
Campaign_7,Meta_0,2024-05-17,2024-05-13
Campaign_8,Meta_28,2024-10-26,2025-02-01
Campaign_9,Microsoft_8,2024-08-25,2024-10-05
Campaign_10,TikTok_25,2024-07-24,2024-10-22
Campaign_11,Microsoft_16,2024-11-09,2025-01-13
Campaign_12,Meta_73,2024-09-21,2024-11-15
Campaign_13,,2024-01-04,2024-02-27
Campaign_14,TikTok_39,2024-04-17,2024-07-13
Campaign_15,Microsoft_53,2024-10-21,2025-01-18
Campaign_16,Google_1,2024-09-30,2024-12-23
Campaign_17,Google_63,2024-08-21,2024-10-27
Campaign_18,Microsoft_53,2024-05-11,2024-06-19
Campaign_19,Amazon_46,2024-01-01,2024-01-23
Campaign_20,Google_1,2024-07-17,2024-10-20
Campaign_21,TikTok_50,2024-03-01,2024-04-17
Campaign_22,TikTok_36,2024-05-09,2024-08-15
Campaign_23,Google_55,2024-11-23,2025-01-07
Campaign_24,Meta_91,2024-12-12,2025-02-15
Campaign_25,Google_22,2024-03-05,2024-03-08
Campaign_26,Google_3,2024-02-27,2024-02-23
Campaign_27,Microsoft_57,2024-10-06,2024-09-26
Campaign_28,Amazon_90,2024-03-14,2024-05-11
Campaign_29,Microsoft_26,2024-08-05,2024-10-06
Campaign_30,Google_60,2024-03-22,2024-06-09
Campaign_31,Meta_47,2024-06-17,2024-07-21
Campaign_32,Google_63,2024-03-25,2024-05-08
Campaign_33,TikTok_29,2024-02-27,2024-05-02
Campaign_34,Amazon_46,2024-07-21,2024-09-30
Campaign_35,Google_1,2024-11-25,2025-01-08
Campaign_36,Google_31,2024-05-20,2024-07-28
Campaign_37,Microsoft_69,2024-08-04,2024-08-29
Campaign_38,Google_87,2024-01-10,2024-04-10
Campaign_39,Meta_47,2024-10-26,2024-12-05
Campaign_40,Google_45,2024-06-30,2024-07-05
Campaign_41,TikTok_38,2024-07-11,2024-07-14
Campaign_42,Google_59,2024-08-24,2024-10-22
Campaign_43,Microsoft_57,2024-12-21,2025-02-10
Campaign_44,TikTok_54,2024-08-01,2024-08-20
Campaign_45,Amazon_11,2024-06-11,2024-07-16
Campaign_46,Microsoft_89,2024-02-21,2024-03-27
Campaign_47,Meta_47,2024-10-17,2024-11-28
Campaign_48,Meta_47,2024-08-13,2024-08-24
Campaign_49,Google_87,2024-04-09,2024-04-24
Campaign_50,Google_60,2024-02-22,2024-03-21
Campaign_51,Microsoft_57,2024-08-06,2024-08-17
Campaign_52,Google_27,2024-12-03,2024-12-30
Campaign_53,Google_76,2024-07-01,2024-07-27
Campaign_54,TikTok_68,2024-11-03,2025-01-31
Campaign_55,Google_31,2024-09-17,2024-12-07
Campaign_56,Amazon_40,2024-10-13,2025-01-16
Campaign_57,TikTok_36,2024-09-13,2024-10-04
Campaign_58,Google_27,2024-08-18,2024-11-14
Campaign_59,TikTok_44,2024-07-18,2024-09-09
Campaign_60,Google_19,2024-01-30,2024-02-07
Campaign_61,Meta_93,2024-02-26,2024-05-04
Campaign_62,Google_77,2024-04-19,2024-05-21
Campaign_63,Google_88,2024-01-09,2024-03-22
Campaign_64,TikTok_29,2024-04-17,2024-06-19
Campaign_65,Google_22,2024-07-24,2024-10-05
Campaign_66,Microsoft_16,2024-04-17,2024-06-03
Campaign_67,Microsoft_70,2024-12-29,2024-12-20
Campaign_68,Meta_42,2024-01-24,2024-01-19
Campaign_69,Microsoft_37,2024-05-11,2024-07-27
Campaign_70,Google_78,2024-02-22,2024-03-10
Campaign_71,Microsoft_16,2024-04-18,2024-04-08
Campaign_72,Google_35,2024-11-19,2024-11-11
Campaign_73,TikTok_83,2024-07-27,2024-08-08
Campaign_74,Meta_71,2024-06-19,2024-07-05
Campaign_75,Microsoft_57,2024-05-24,2024-06-10
Campaign_76,Microsoft_37,2024-11-18,2025-01-29
Campaign_77,Google_55,2024-11-17,2025-02-25
Campaign_78,Meta_0,2024-12-15,2025-01-13
Campaign_79,TikTok_12,2024-06-24,2024-08-12
Campaign_80,TikTok_54,2024-07-29,2024-11-01
Campaign_81, ,2024-02-19,2024-04-01
Campaign_82,Amazon_46,2024-01-03,2024-03-23
Campaign_83,Amazon_46,2024-03-25,2024-05-26
Campaign_84,Google_45,2024-04-09,2024-05-03
Campaign_85,TikTok_83,2024-07-12,2024-09-08
Campaign_86,Meta_93,2024-03-09,2024-03-25
Campaign_87,Amazon_46,2024-03-23,2024-06-30
Campaign_88,Microsoft_48,2024-01-11,2024-01-16
Campaign_89,TikTok_25,2024-11-17,2024-12-15
Campaign_90,Meta_92,2024-03-22,2024-03-21
Campaign_91,TikTok_20,2024-09-19,2024-12-13
Campaign_92,Meta_0,2024-09-15,2024-09-13
Campaign_93,Microsoft_69,2024-09-27,2024-11-22
Campaign_94,Google_4,2024-11-15,2025-01-21
BadCampaign_0,InvalidAdv,2024-01-01,2024-01-10
BadCampaign_1,InvalidAdv,2024-01-01,2024-01-10
BadCampaign_2,InvalidAdv,2024-01-01,2024-01-10
BadCampaign_3,InvalidAdv,2024-01-01,2024-01-10
BadCampaign_4,InvalidAdv,2024-01-01,2024-01-10
