date,adgroup_name,clicks,impressions,cost
2024-09-22,AdGroup_60,149,428,157.71
2024-05-06,AdGroup_88,-2,1188,38.64
2024-03-17,AdGroup_76,13,1978,-12.61
2024-01-02,AdGroup_3,149,1265,147.45
2024-11-23,AdGroup_52,3,1664,107.1
2024-10-05,AdGroup_44,-1,1655,115.01
2024-09-03,AdGroup_63,165,1326,167.74
2024-07-03,AdGroup_54,122,1345,44.52
2024-12-19,AdGroup_92,122,558,130.56
2024-06-16,BadAdGroup_3,155,676,70.73
2024-08-19,AdGroup_83,90,1546,129.64
2024-02-24,AdGroup_11,61,320,109.67
2024-07-31,AdGroup_93,133,577,101.58
2024-09-26,AdGroup_13,85,751,199.28
2024-03-25,AdGroup_59,131,1476,70.98
2024-08-02,AdGroup_61,199,888,71.22
2024-04-21,AdGroup_18,68,-3,74.87
2024-03-24,AdGroup_68,170,1753,129.29
2024-04-17,AdGroup_55,19,1480,2.15
2024-08-20,AdGroup_40,97,575,101.78
2024-03-13,AdGroup_45,14,646,73.03
2024-07-15,AdGroup_8,149,686,134.61
2024-07-22,AdGroup_10,84,641,31.06
2024-09-17,AdGroup_4,20,1643,96.36
2024-11-08,AdGroup_76,147,863,29.73
2024-03-30,AdGroup_56,22,1883,102.5
2024-01-07,AdGroup_57,48,662,84.7
2024-06-29,AdGroup_59,137,369,21.48
2024-11-12,BadAdGroup_3,194,1246,124.87
2024-04-07,BadAdGroup_1,48,1746,73.63
2024-09-05,AdGroup_49,22,-40,94.6
2024-04-06,AdGroup_32,149,1923,170.72
2024-01-06,AdGroup_1,31,1742,198.11
2024-08-24,AdGroup_18,121,1505,0.7
2024-03-04,AdGroup_21,125,1209,156.88
2024-02-19,AdGroup_66,148,846,-19.7
2024-08-17,AdGroup_72,8,211,57.01
2024-10-29,AdGroup_62,34,1485,86.96
2024-06-16,BadAdGroup_2,164,808,47.52
2024-05-24,AdGroup_5,83,1498,133.95
2024-05-30,AdGroup_9,184,60,125.1
2024-06-12,AdGroup_86,58,1772,139.96
2024-01-10,AdGroup_53,61,268,195.15
2024-08-23,AdGroup_90,131,1133,179.07
2024-06-06,AdGroup_1,23,1807,126.32
2024-02-07,AdGroup_82,199,352,44.31
2024-05-07,AdGroup_80,54,1582,133.92
2024-12-02,BadAdGroup_4,99,1579,-7.87
2024-01-20,AdGroup_27,170,601,128.35
2024-06-12,AdGroup_44,62,1074,93.01
2024-08-21,AdGroup_11,69,663,110.75
2024-06-20,AdGroup_63,49,345,36.1
2024-02-21,AdGroup_1,165,1231,11.63
2024-06-07,AdGroup_58,163,784,131.48
2024-12-24,AdGroup_40,189,530,-4.24
2024-07-21,AdGroup_14,110,1092,161.44
2024-04-15,AdGroup_55,-8,438,-11.6
2024-01-07,AdGroup_6,36,1050,43.16
2024-08-02,AdGroup_73,78,1010,183.3
2024-05-09,AdGroup_82,177,738,5.7
2024-04-14,AdGroup_89,135,568,33.68
2024-07-29,AdGroup_46,38,1664,130.41
2024-12-26,AdGroup_35,110,914,133.21
2024-04-04,AdGroup_42,26,693,84.21
2024-04-27,AdGroup_88,84,1071,22.52
2024-10-14,AdGroup_44,199,318,148.78
2024-12-06,AdGroup_30,126,992,63.35
2024-06-02,AdGroup_78,39,1878,28.34
2024-04-07,AdGroup_61,146,1793,124.38
2024-04-10,AdGroup_25,114,-45,89.95
2024-05-24,AdGroup_84,5,1612,32.78
2024-03-31,AdGroup_46,193,517,54.38
2024-07-10,AdGroup_5,21,829,-0.78
2024-02-09,AdGroup_18,78,806,105.8
2024-10-15,AdGroup_49,33,1627,5.87
2024-07-07,AdGroup_21,154,95,9.7
2024-05-27,AdGroup_25,151,297,73.46
2024-06-15,AdGroup_41,101,1253,119.76
2024-01-16,AdGroup_27,75,1938,-15.08
2024-07-19,AdGroup_29,50,932,-10.88
2024-09-14,AdGroup_52,123,1655,179.91
2024-10-12,AdGroup_83,46,1832,44.75
2024-12-25,AdGroup_39,67,1443,155.47
2024-05-03,AdGroup_33,-2,734,-16.34
2024-06-25,AdGroup_81,49,17,198.15
2024-04-24,AdGroup_3,142,210,65.31
2024-05-26,AdGroup_40,136,1129,126.67
2024-12-06,AdGroup_93,181,396,16.49
2024-03-18,AdGroup_72,188,1467,159.86
2024-08-04,BadAdGroup_2,4,1687,164.81
2024-12-30,AdGroup_47,45,1896,165.5
2024-02-19,AdGroup_59,135,190,44.71
2024-05-09,AdGroup_41,-6,1151,21.1
2024-11-22,AdGroup_92,157,1229,158.31
2024-02-18,AdGroup_89,173,434,82.73
invalid_date,InvalidAdGroup,-5,-100,-10.0
invalid_date,InvalidAdGroup,-5,-100,-10.0
invalid_date,InvalidAdGroup,-5,-100,-10.0
invalid_date,InvalidAdGroup,-5,-100,-10.0
invalid_date,InvalidAdGroup,-5,-100,-10.0
